N,runtime,cp_times
1352,31.459,1840
1353,31.492,1840
1354,31.503,1840
1355,31.526,1840
1356,31.536,1840
1357,31.525,1840
1358,31.52,1840
1359,31.546,1840
1360,31.55,1840
1361,31.556,1840
1362,31.564,1840
1363,31.606,1840
1364,31.59,1840
1365,31.57,1840
1366,31.607,1840
1367,31.62,1840
1368,31.648,1840
1369,31.655,1840
1370,31.66,1840
1371,31.65,1840
1372,31.632,1840
1373,31.698,1840
1374,31.665,1840
1375,31.712,1840
1376,31.722,1840
1377,31.748,1840
1378,31.768,1840
1379,31.736,1840
1380,31.719,1840
1381,31.769,1840
1382,31.789,1840
1383,31.745,1840
1384,31.753,1840
1385,31.799,1840
1386,31.78,1840
1387,31.778,1840
1388,31.807,1840
1389,31.798,1840
1390,31.879,1840
1391,31.827,1840
1392,31.859,1840
1393,31.875,1840
1394,31.871,1840
1395,31.922,1840
1396,31.904,1840
1397,31.902,1840
1398,31.894,1840
1399,31.922,1840
1400,31.921,1840
1401,31.977,1840
1402,31.981,1840
1403,31.986,1840
1404,31.999,1840
1405,32.028,1840
1406,32.005,1840
1407,32.029,1840
1408,31.996,1840
1409,32.009,1840
1410,32.051,1840
1411,32.03,1840
1412,32.053,1840
1413,32.042,1840
1414,32.066,1840
1415,32.09,1840
1416,32.09,1840
1417,32.117,1840
1418,32.149,1840
1419,32.144,1840
1420,32.111,1840
1421,32.108,1840
1422,32.102,1840
1423,32.155,1840
1424,32.128,1840
1425,32.158,1840
1426,32.15,1840
1427,32.154,1840
1428,32.173,1840
1429,32.215,1840
1430,32.187,1840
1431,32.22,1840
1432,32.217,1840
1433,32.234,1840
1434,32.232,1840
1435,32.248,1840
1436,32.285,1840
1437,32.298,1840
1438,32.276,1840
1439,32.296,1840
1440,32.27,1840
1441,32.341,1840
1442,32.351,1840
1443,32.297,1840
1444,32.331,1840
1445,32.353,1840
1446,32.331,1840
1447,32.401,1840
1448,32.39,1840
1449,32.419,1840
1450,32.393,1840
1451,32.422,1840
1452,32.434,1840
1453,32.442,1840
1454,32.412,1840
1455,32.432,1840
1456,32.455,1840
1457,32.464,1840
1458,32.488,1840
1459,32.471,1840
1460,32.484,1840
1461,32.497,1840
1462,32.501,1840
1463,32.525,1840
1464,32.52,1840
1465,32.562,1840
1466,32.523,1840
1467,32.524,1840
1468,32.595,1840
1469,32.602,1840
1470,32.556,1840
1471,32.592,1840
1472,32.58,1840
1473,32.587,1840
1474,32.608,1840
1475,32.62,1840
1476,32.624,1840
1477,32.685,1840
1478,32.617,1840
1479,32.659,1840
1480,32.68,1840
1481,32.677,1840
1482,32.652,1840
1483,32.729,1840
1484,32.704,1840
1485,32.703,1840
1486,32.696,1840
1487,32.743,1840
1488,32.708,1840
1489,32.737,1840
1490,32.742,1840
1491,32.754,1840
1492,32.753,1840
1493,32.764,1840
1494,32.799,1840
1495,32.828,1840
1496,32.808,1840
1497,32.841,1840
1498,32.8,1840
1499,32.827,1840
1500,32.81,1840
1501,32.858,1840
1502,32.81,1840
1503,32.851,1840
1504,32.868,1840
1505,32.911,1840
1506,32.905,1840
1507,32.897,1840
1508,32.922,1840
1509,32.943,1840
1510,32.952,1840
